SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
30,34.77,1208.9529,22.5,506.25
30,32.63,1064.7169,17.64705882,311.4186851
30,26.23,688.0129,22.96296296,527.297668
31,34.31,1177.1761,26.81818182,719.214876
31,25.51,650.7601,21.96078431,482.2760477
31,24.43,596.8249,19.09090909,364.4628099
31,36.6,1339.56,18.03225806,325.1623309
31,30.75,945.5625,12.06896552,145.6599287
31,32.47,1054.3009,21.08163265,444.4352353
31,35.24,1241.8576,17.46031746,304.8626858
32,33.83,1144.4689,26.25,689.0625
32,34.85,1214.5225,25.08474576,629.24447
32,32.41,1050.4081,21.27659574,452.6935265
32,36.69,1346.1561,14.58333333,212.6736111
32,36.02,1297.4404,28,784
32,36,1296,26.47058824,700.6920415
32,26.54,704.3716,26.47058824,700.6920415
32,32.6,1062.76,22.34782609,499.4253308
33,35.67,1272.3489,27.27272727,743.8016529
33,34.03,1158.0409,14.81481481,219.478738
33,24.91,620.5081,27.77777778,771.6049383
33,33.99,1155.3201,23.33333333,544.4444444
34,30.99,960.3801,27.77777778,771.6049383
34,36.99,1368.2601,18.61538462,346.5325444
35,31.21,974.0641,28.57142857,816.3265306
35,38.04,1447.0416,20.54794521,422.2180522
