SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
7,18.1,326.16,66.7,16.7,16.7
9,18.1,326.16,66.7,16.7,16.7
11,18.1,326.16,66.7,16.7,16.7
14,13.2,174.77,76.7,10.0,13.3
13,0.0,0.00,74.6,14.3,11.0
7,10.3,106.09,55.6,33.3,11.1
9,11.5,132.25,45.5,36.4,18.2
12,14.2,201.64,70.0,20.0,10.0
5,7.8,60.84,40.0,40.0,20.0
15,22.6,510.76,63.6,27.3,9.1
18,25.3,640.09,70.0,20.0,10.0
10,16.4,268.96,60.0,30.0,10.0
6,8.7,75.69,45.5,36.4,18.2
13,18.9,357.21,55.6,33.3,11.1
21,29.5,870.25,63.6,27.3,9.1
8,12.1,146.41,50.0,30.0,20.0
11,17.8,316.84,66.7,22.2,11.1
14,20.2,408.04,70.0,20.0,10.0
17,24.7,609.09,63.6,27.3,9.1
9,14.4,207.36,55.6,33.3,11.1
22,31.2,973.44,50.0,30.0,20.0
25,34.2,1170.24,66.7,22.2,11.1
28,39.4,1552.36,70.0,20.0,10.0
31,44.2,1953.64,63.6,27.3,9.1
